(95, 95)
(95, 94)
(94, 94)
(94, 93)
(95, 93)
(95, 92)
(95, 91)
(94, 91)
(93, 91)
(93, 92)
(92, 92)
(91, 92)
(90, 92)
(90, 91)
(89, 91)
(88, 91)
(87, 91)
(86, 91)
(85, 91)
(85, 90)
(86, 90)
(87, 90)
(88, 90)
(89, 90)
(90, 90)
(91, 90)
(92, 90)
(93, 90)
(94, 90)
(95, 90)
(95, 89)
(94, 89)
(93, 89)
(92, 89)
(91, 89)
(91, 88)
(91, 87)
(90, 87)
(90, 86)
(89, 86)
(88, 86)
(88, 85)
(89, 85)
(90, 85)
(91, 85)
(91, 84)
(92, 84)
(93, 84)
(94, 84)
(95, 84)
(95, 83)
(94, 83)
(93, 83)
(92, 83)
(91, 83)
(90, 83)
(89, 83)
(88, 83)
(87, 83)
(86, 83)
(85, 83)
(84, 83)
(83, 83)
(82, 83)
(81, 83)
(81, 82)
(82, 82)
(83, 82)
(84, 82)
(84, 81)
(83, 81)
(83, 80)
(82, 80)
(81, 80)
(80, 80)
(79, 80)
(78, 80)
(77, 80)
(76, 80)
(76, 79)
(77, 79)
(78, 79)
(79, 79)
(80, 79)
(81, 79)
(82, 79)
(83, 79)
(83, 78)
(82, 78)
(82, 77)
(83, 77)
(84, 77)
(85, 77)
(85, 78)
(86, 78)
(87, 78)
(87, 79)
(86, 79)
(85, 79)
(85, 80)
(86, 80)
(87, 80)
(88, 80)
(89, 80)
(90, 80)
(91, 80)
(92, 80)
(93, 80)
(94, 80)
(95, 80)
(95, 79)
(94, 79)
(93, 79)
(92, 79)
(91, 79)
(90, 79)
(89, 79)
(89, 78)
(90, 78)
(91, 78)
(92, 78)
(93, 78)
(93, 77)
(94, 77)
(95, 77)
(95, 76)
(94, 76)
(93, 76)
(92, 76)
(92, 75)
(93, 75)
(94, 75)
(94, 74)
(93, 74)
(92, 74)
(91, 74)
(91, 73)
(90, 73)
(89, 73)
(88, 73)
(87, 73)
(87, 72)
(86, 72)
(85, 72)
(84, 72)
(83, 72)
(82, 72)
(81, 72)
(80, 72)
(79, 72)
(78, 72)
(77, 72)
(76, 72)
(75, 72)
(74, 72)
(73, 72)
(73, 73)
(72, 73)
(71, 73)
(70, 73)
(69, 73)
(68, 73)
(67, 73)
(66, 73)
(65, 73)
(64, 73)
(63, 73)
(62, 73)
(61, 73)
