(35, 35)
(34, 35)
(33, 35)
(33, 34)
(34, 34)
(35, 34)
(35, 33)
(35, 32)
(34, 32)
(33, 32)
(32, 32)
(31, 32)
(30, 32)
(29, 32)
(29, 31)
(30, 31)
(31, 31)
(32, 31)
(33, 31)
(33, 30)
(32, 30)
(31, 30)
(31, 29)
(32, 29)
(33, 29)
(34, 29)
(35, 29)
(35, 28)
(34, 28)
(33, 28)
(32, 28)
(31, 28)
(31, 27)
(30, 27)
(29, 27)
(28, 27)
(27, 27)
(26, 27)
(25, 27)
(24, 27)
(23, 27)
(22, 27)
(22, 26)
(23, 26)
(24, 26)
(25, 26)
(26, 26)
(27, 26)
(28, 26)
(29, 26)
(30, 26)
(31, 26)
(31, 25)
(30, 25)
(29, 25)
(29, 24)
(29, 23)
(28, 23)
(27, 23)
(26, 23)
(25, 23)
(24, 23)
(23, 23)
(22, 23)
(21, 23)
(21, 22)
(21, 21)
(20, 21)
(20, 20)
(20, 19)
(19, 19)
(18, 19)
(17, 19)
(16, 19)
(15, 19)
(15, 18)
(16, 18)
(17, 18)
(18, 18)
(18, 17)
(17, 17)
(16, 17)
(16, 16)
(17, 16)
(18, 16)
(19, 16)
(20, 16)
(21, 16)
(22, 16)
(23, 16)
(24, 16)
(24, 15)
(23, 15)
(23, 14)
(24, 14)
(25, 14)
(26, 14)
(27, 14)
(28, 14)
(29, 14)
(30, 14)
(30, 13)
(29, 13)
(28, 13)
(27, 13)
(26, 13)
(25, 13)
(25, 12)
(26, 12)
(27, 12)
(28, 12)
(29, 12)
(30, 12)
(31, 12)
(32, 12)
(33, 12)
(34, 12)
(35, 12)
(35, 11)
(34, 11)
(33, 11)
(32, 11)
(31, 11)
(30, 11)
(30, 10)
(31, 10)
(32, 10)
(33, 10)
(34, 10)
(35, 10)
(35, 9)
(34, 9)
(33, 9)
(33, 8)
(32, 8)
(31, 8)
(30, 8)
(29, 8)
(28, 8)
(27, 8)
(26, 8)
(25, 8)
(24, 8)
(23, 8)
(22, 8)
(21, 8)
(20, 8)
(19, 8)
(19, 7)
(18, 7)
(18, 6)
(17, 6)
(17, 5)
(16, 5)
(15, 5)
(14, 5)
(13, 5)
(13, 4)
(12, 4)
(11, 4)
(10, 4)
(9, 4)
(8, 4)
(7, 4)
(6, 4)
(5, 4)
(4, 4)
(3, 4)
(2, 4)
(1, 4)
(1, 3)
(1, 2)
(2, 2)
(2, 1)
(1, 1)
4 ms
